Tanggal,Shift,Jumlah Operator,Gudang
9/17/2026,PAGI,12,Gudang Utama
9/17/2026,SIANG,10,Gudang Timur
9/17/2026,MALAM,8,Gudang Barat
9/18/2026,PAGI,14,Gudang Utama
9/18/2026,SIANG,11,Gudang Timur
9/18/2026,MALAM,9,Gudang Barat
9/19/2026,PAGI,13,Gudang Utama
9/19/2026,SIANG,12,Gudang Timur
9/19/2026,MALAM,8,Gudang Barat
9/20/2026,PAGI,15,Gudang Utama
9/20/2026,SIANG,10,Gudang Timur
9/20/2026,MALAM,9,Gudang Barat
9/21/2026,PAGI,12,Gudang Utama
9/21/2026,SIANG,13,Gudang Timur
9/21/2026,MALAM,7,Gudang Barat
9/22/2026,PAGI,14,Gudang Utama
9/22/2026,SIANG,11,Gudang Timur
9/22/2026,MALAM,10,Gudang Barat
9/23/2026,PAGI,16,Gudang Utama
9/23/2026,SIANG,12,Gudang Timur
9/23/2026,MALAM,8,Gudang Barat
9/24/2026,PAGI,13,Gudang Utama
9/24/2026,SIANG,10,Gudang Timur
9/24/2026,MALAM,9,Gudang Barat
9/25/2026,PAGI,15,Gudang Utama
9/25/2026,SIANG,12,Gudang Timur
9/25/2026,MALAM,8,Gudang Barat
9/26/2026,PAGI,14,Gudang Utama
9/26/2026,SIANG,11,Gudang Timur
9/26/2026,MALAM,10,Gudang Barat
9/27/2026,PAGI,12,Gudang Utama
9/27/2026,SIANG,10,Gudang Timur
9/27/2026,MALAM,7,Gudang Barat
9/28/2026,PAGI,16,Gudang Utama
9/28/2026,SIANG,13,Gudang Timur
9/28/2026,MALAM,9,Gudang Barat
9/29/2026,PAGI,15,Gudang Utama
9/29/2026,SIANG,12,Gudang Timur
9/29/2026,MALAM,8,Gudang Barat
9/30/2026,PAGI,14,Gudang Utama
9/30/2026,SIANG,11,Gudang Timur
9/30/2026,MALAM,10,Gudang Barat
10/1/2026,PAGI,13,Gudang Utama
10/1/2026,SIANG,12,Gudang Timur
10/1/2026,MALAM,8,Gudang Barat
10/2/2026,PAGI,16,Gudang Utama
10/2/2026,SIANG,10,Gudang Timur
10/2/2026,MALAM,9,Gudang Barat
10/3/2026,PAGI,15,Gudang Utama
10/3/2026,SIANG,13,Gudang Timur
10/3/2026,MALAM,8,Gudang Barat
10/4/2026,PAGI,12,Gudang Utama
10/4/2026,SIANG,11,Gudang Timur
10/4/2026,MALAM,7,Gudang Barat
10/5/2026,PAGI,14,Gudang Utama
10/5/2026,SIANG,12,Gudang Timur
10/5/2026,MALAM,9,Gudang Barat
10/6/2026,PAGI,16,Gudang Utama
10/6/2026,SIANG,13,Gudang Timur
10/6/2026,MALAM,10,Gudang Barat
10/7/2026,PAGI,15,Gudang Utama
10/7/2026,SIANG,11,Gudang Timur
10/7/2026,MALAM,8,Gudang Barat
10/8/2026,PAGI,13,Gudang Utama
10/8/2026,SIANG,10,Gudang Timur
10/8/2026,MALAM,9,Gudang Barat
10/9/2026,PAGI,14,Gudang Utama
10/9/2026,SIANG,12,Gudang Timur
10/9/2026,MALAM,8,Gudang Barat
10/10/2026,PAGI,16,Gudang Utama
10/10/2026,SIANG,13,Gudang Timur
10/10/2026,MALAM,10,Gudang Barat
